what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1308097117620
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1308097117620
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1308097117620
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1308097117620
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1308097117620
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1308097117620
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1308097117620
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1308097117620
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1308097117620
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1308097117636
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1308097117636
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1308097117636
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1308097117636
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1308097117636
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1308097117636
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1308097117636
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1308097117636
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1308097117636
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1308097117636
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1308097117636
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1308097117636
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1308097117636
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1308097117636
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1308097117636
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1308097117636
started,bundle,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics",1308097117651
os,sysinfo,,,"win32",1308097117651
arch,sysinfo,,,"x86",1308097117651
ws,sysinfo,,,"win32",1308097117651
locale,sysinfo,,,"pt_BR",1308097117651
processors,sysinfo,,,"2",1308097117651
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1308097117651
java.runtime.version,sysinfo,,,"1.6.0_21-b07",1308097117651
java.specification.name,sysinfo,,,"Java Platform API Specification",1308097117651
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308097117651
java.specification.version,sysinfo,,,"1.6",1308097117651
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1308097117651
java.version,sysinfo,,,"1.6.0_21",1308097117651
java.vm.info,sysinfo,,,"mixed mode, sharing",1308097117651
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1308097117651
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1308097117651
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1308097117651
java.vm.specification.version,sysinfo,,,"1.0",1308097117651
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1308097117651
java.vm.version,sysinfo,,,"17.0-b17",1308097117651
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308097117683
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1308097118558
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1308097123292
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1308097129604
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308097129651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308097133089
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308097155667
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308097162901
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1308097162933
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308097176261
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308097181104
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1308097181136
activated,view,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics.ui.MetricsView",1308097183245
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.SourceView",1308097184761
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.SourceView",1308097184808
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavadocView",1308097185761
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.JavadocView",1308097185776
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1308097186636
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1308097186667
opened,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1308097188901
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1308097188933
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1308097217886
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1308097222761
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308097242292
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308097243979
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.newWizard",1308097244011
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308097246979
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308097416667
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308097419339
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1308097419526
started,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1308097419636
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1308097419683
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1308097420886
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308097425136
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308097429776
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308097434683
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308097453589
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308097454964
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308097456026
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308097456854
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1308097457120
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1308097457386
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1308097457401
stopped,bundle,org.eclipse.ant.launching,1.0.1.v20101020_r362,"org.eclipse.ant.launching",1308097457401
stopped,bundle,org.eclipse.compare.win32,1.0.101.R36x_v20101103-0618,"org.eclipse.compare.win32",1308097457401
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1308097457401
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1308097457401
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1308097457401
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1308097457401
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1308097457401
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui",1308097457401
stopped,bundle,net.sourceforge.metrics,1.3.6,"net.sourceforge.metrics",1308097457511
stopped,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1308097457526
